City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
178,Carnarvon,AU,87.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
191,Puerto El Triunfo,SV,85.12,overcast clouds,13.2833,-88.55,Hotel Jardin
194,Vanimo,PG,85.3,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
198,Santa Cruz Cabralia,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
199,Mapastepec,MX,77.92,few clouds,15.4333,-92.9,Hotel San Carlos
206,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Acapulco,MX,75.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
211,Gainesville,US,76.95,overcast clouds,29.6516,-82.3248,Wyndham Garden Gainesville
214,Pizarro,CO,79.45,light rain,4.9533,-77.366,Hotel Limonar
216,Warri,NG,77.92,scattered clouds,5.5167,5.75,BON Hotel Delta
221,Simpang Empat,MY,82.02,overcast clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
222,Bandarbeyla,SO,79.45,few clouds,9.4942,50.8122,JABIR HOTEL
225,Mallapuram,IN,82.74,clear sky,11.9667,78.25,VIP Lodge
226,Kuala Terengganu,MY,82.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
231,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
234,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
235,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
240,Katobu,ID,86.86,broken clouds,-4.9408,122.5276,La Ode Husein
241,Santander Jimenez,MX,76.98,broken clouds,24.2167,-98.4667,Papas inc
242,Mayumba,GA,76.59,overcast clouds,-3.432,10.6554,LIKWALE LODGE
243,Sumbe,AO,75.74,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
245,Dakoro,NE,79.2,overcast clouds,14.5106,6.765,Shagon mai liverpool
252,Byron Bay,AU,78.69,scattered clouds,-28.65,153.6167,Backpackers Inn
265,Trinidad,BO,75.02,broken clouds,-14.8333,-64.9,Hotel Piesta
271,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
272,Yibin,CN,77.25,clear sky,28.7667,104.6238,Handsome Guesthouse
273,Auki,SB,85.48,overcast clouds,-8.7676,160.7034,Auki Motel
277,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
283,Savelugu,GH,83.25,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
285,Ruteng,ID,75.9,broken clouds,-8.6136,120.4721,Hotel FX 72
290,Meulaboh,ID,84.99,broken clouds,4.1363,96.1285,Kost Pria
293,Antiguo Morelos,MX,87.12,overcast clouds,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
299,Matara,LK,84.27,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
302,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
306,Gambiran,ID,85.01,broken clouds,-6.7988,111.4951,GUBUK KU
316,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
317,Tahta,EG,77.68,scattered clouds,26.7693,31.5021,فندق الزيات
319,Sinnamary,GF,76.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
324,Kontagora,NG,81.64,overcast clouds,10.3999,5.4695,Queens Guest Inn
325,Jieshi,CN,78.94,scattered clouds,22.8134,115.8257,Yuehai Hotel
326,Key West,US,84.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
331,Ambilobe,MG,75.56,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
333,Crestview,US,75.49,overcast clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
334,Jingdezhen,CN,79.11,clear sky,29.2947,117.2079,Garden Hotel
339,Quatre Cocos,MU,77.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
342,Bubaque,GW,75.88,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
352,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
356,Tura,IN,82.51,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
357,Sampit,ID,86.16,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
361,Bardiyah,LY,75.2,broken clouds,31.7561,25.0865,بورتو بردية
362,Awjilah,LY,85.06,few clouds,29.1081,21.2869,المنزل
367,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
373,Harper,LR,78.8,light rain,4.375,-7.7169,Screensaver
375,Champerico,GT,82.71,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
376,Gombong,ID,86.2,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
377,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
380,Kavaratti,IN,83.3,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
383,Sokoni,TZ,76.86,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
385,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
387,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
390,Rio De Jesus,PA,80.04,broken clouds,7.9844,-81.1631,Parador fotografico Rio de Jesus
