City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Chuy,UY,2022-04-06 16:23:37,-33.6971,-53.4616,75.67,44,0,6.31
92,At-Bashi,KG,2022-04-06 16:23:37,41.1702,75.8106,44.2,41,16,3.02
93,Flinders,AU,2022-04-06 16:24:39,-34.5833,150.8552,65.37,91,100,4.0
94,Falun,SE,2022-04-06 16:24:39,60.6036,15.626,41.22,34,100,4.85
95,Shirgaon,IN,2022-04-06 16:24:39,19.7,72.7,81.46,78,40,7.63
96,Lewistown,US,2022-04-06 16:24:40,40.5992,-77.5714,54.54,95,100,5.68
97,Hami,CN,2022-04-06 16:24:40,42.8,93.45,66.65,14,8,3.22
98,Menongue,AO,2022-04-06 16:24:41,-14.6585,17.691,72.72,68,97,2.42
99,New Norfolk,AU,2022-04-06 16:24:41,-42.7826,147.0587,49.71,68,0,3.0
100,Wencheng,CN,2022-04-06 16:24:41,33.0559,113.7978,58.89,80,1,7.31
101,Mar Del Plata,AR,2022-04-06 16:21:49,-38.0023,-57.5575,80.62,41,0,14.97
102,Marawi,PH,2022-04-06 16:24:42,7.9986,124.2928,68.7,97,99,0.63
103,Port Elizabeth,ZA,2022-04-06 16:23:26,-33.918,25.5701,62.89,72,20,31.07
104,Saint-Pierre,RE,2022-04-06 16:24:42,-21.3393,55.4781,78.48,76,20,17.27
105,Te Anau,NZ,2022-04-06 16:24:42,-45.4167,167.7167,42.31,92,89,4.05
106,Rundu,NA,2022-04-06 16:24:43,-17.9333,19.7667,82.76,40,13,3.33
107,Chokurdakh,RU,2022-04-06 16:24:43,70.6333,147.9167,-24.43,100,29,3.62
108,Coquimbo,CL,2022-04-06 16:24:43,-29.9533,-71.3436,58.73,82,20,11.5
109,Puerto Ayora,EC,2022-04-06 16:24:44,-0.7393,-90.3518,84.16,78,57,8.59
110,Port-De-Bouc,FR,2022-04-06 16:24:44,43.4,4.9833,59.76,58,75,13.8
111,Sazonovo,RU,2022-04-06 16:24:44,59.0919,35.2268,27.97,78,98,9.13
112,Omboue,GA,2022-04-06 16:24:44,-1.5746,9.2618,81.9,80,99,6.17
113,Bauta,CU,2022-04-06 16:24:45,22.9828,-82.5464,85.98,62,40,13.8
114,Mahasamund,IN,2022-04-06 16:24:45,21.1,82.1,89.87,9,4,5.39
115,San Cristobal,VE,2022-04-06 16:24:46,7.7669,-72.225,80.78,52,100,8.23
116,Kahului,US,2022-04-06 16:24:46,20.8947,-156.47,73.85,83,40,5.75
117,Talas,TR,2022-04-06 16:24:46,38.6908,35.5538,63.27,34,40,11.5
118,Portland,US,2022-04-06 16:23:55,45.5234,-122.6762,48.07,74,20,11.99
119,Sorland,NO,2022-04-06 16:24:47,67.667,12.6934,35.26,62,85,14.16
120,Taoudenni,ML,2022-04-06 16:24:47,22.6783,-3.9836,95.25,11,5,11.79
121,Namatanai,PG,2022-04-06 16:24:47,-3.6667,152.4333,77.56,91,100,15.66
122,Port Alfred,ZA,2022-04-06 16:24:47,-33.5906,26.891,63.18,72,40,11.01
123,Lavrentiya,RU,2022-04-06 16:24:48,65.5833,-171.0,-15.99,96,61,7.85
124,Upernavik,GL,2022-04-06 16:24:48,72.7868,-56.1549,3.78,93,31,10.67
125,Sidhi,IN,2022-04-06 16:24:48,24.4167,81.8833,87.17,7,1,2.46
126,Leshukonskoye,RU,2022-04-06 16:24:49,64.8989,45.7622,32.14,92,100,11.21
127,Haines Junction,CA,2022-04-06 16:24:49,60.7522,-137.5108,30.15,59,70,2.3
128,Traverse City,US,2022-04-06 16:24:37,44.7631,-85.6206,48.27,91,100,10.36
129,Hithadhoo,MV,2022-04-06 16:24:49,-0.6,73.0833,83.07,65,5,3.33
130,Cairns,AU,2022-04-06 16:24:50,-16.9167,145.7667,75.07,93,13,3.44
131,Luderitz,NA,2022-04-06 16:24:50,-26.6481,15.1594,69.6,50,53,28.03
132,Dingle,PH,2022-04-06 16:24:50,10.9995,122.6711,75.45,91,100,5.53
133,Inyonga,TZ,2022-04-06 16:25:51,-6.7167,32.0667,71.35,80,71,3.83
134,Kodiak,US,2022-04-06 16:25:51,57.79,-152.4072,35.11,80,100,8.05
135,Kishi,NG,2022-04-06 16:25:52,9.0833,3.85,101.34,21,80,6.67
136,Trairi,BR,2022-04-06 16:24:39,-3.2778,-39.2689,83.01,74,87,6.22
137,Opuwo,NA,2022-04-06 16:25:52,-18.0607,13.84,85.91,22,8,3.58
138,Hasaki,JP,2022-04-06 16:25:52,35.7333,140.8333,52.29,74,100,4.54
139,Dunedin,NZ,2022-04-06 16:25:52,-45.8742,170.5036,47.8,76,92,11.01
140,Businga,CD,2022-04-06 16:25:53,3.3333,20.8833,84.27,59,97,2.62
141,Tabou,CI,2022-04-06 16:25:53,4.423,-7.3528,84.2,72,100,8.7
142,Samana,DO,2022-04-06 16:25:53,19.2056,-69.3369,84.16,83,75,6.91
143,Ippy,CF,2022-04-06 16:25:54,6.2679,21.2247,74.43,83,100,5.44
144,Raul Soares,BR,2022-04-06 16:25:54,-20.1022,-42.4519,83.98,67,64,2.19
145,Qaanaaq,GL,2022-04-06 16:25:54,77.484,-69.3632,9.63,91,100,2.59
146,Bestobe,KZ,2022-04-06 16:25:55,52.4994,73.0975,39.69,66,7,7.23
147,Victoria,HK,2022-04-06 16:25:52,22.2855,114.1577,71.65,74,81,8.01
148,Igbo Ora,NG,2022-04-06 16:25:55,7.4333,3.2833,91.44,49,79,11.65
149,Lata,PT,2022-04-06 16:25:55,40.1629,-8.3327,56.8,53,3,12.55
150,Maumere,ID,2022-04-06 16:25:55,-8.6199,122.2111,79.34,81,95,4.54
151,Surskoye,RU,2022-04-06 16:25:56,54.4821,46.7214,32.83,98,100,9.06
152,Morondava,MG,2022-04-06 16:25:56,-20.2833,44.2833,81.84,58,1,9.69
153,Ploemeur,FR,2022-04-06 16:25:56,47.7333,-3.4333,53.82,93,75,16.11
154,Belle Glade,US,2022-04-06 16:25:52,26.6845,-80.6676,91.42,58,19,11.72
155,Hervey Bay,AU,2022-04-06 16:25:41,-25.2986,152.8535,72.01,76,33,10.0
156,Carnarvon,AU,2022-04-06 16:25:57,-24.8667,113.6333,77.07,83,40,10.36
157,Walvis Bay,NA,2022-04-06 16:25:57,-22.9575,14.5053,76.15,46,0,10.36
158,Ilulissat,GL,2022-04-06 16:25:58,69.2167,-51.1,24.82,80,75,4.61
159,Tautira,PF,2022-04-06 16:25:58,-17.7333,-149.15,82.29,68,96,22.1
160,Egvekinot,RU,2022-04-06 16:25:58,66.3167,-179.1667,-18.76,88,68,4.45
161,Rocha,UY,2022-04-06 16:25:58,-34.4833,-54.3333,80.71,32,0,8.75
162,Cukai,MY,2022-04-06 16:25:59,4.25,103.4167,75.15,89,100,5.73
163,Tsogni,GA,2022-04-06 16:25:59,-2.7942,10.0988,80.76,79,88,8.86
164,Hofn,IS,2022-04-06 16:25:59,64.2539,-15.2082,35.62,44,20,21.85
165,Maramag,PH,2022-04-06 16:26:00,7.8167,124.95,69.51,93,100,0.94
166,Arraial Do Cabo,BR,2022-04-06 16:26:00,-22.9661,-42.0278,80.56,78,75,14.97
167,Pisco,PE,2022-04-06 16:24:59,-13.7,-76.2167,73.45,68,0,11.5
168,Bihac,BA,2022-04-06 16:26:00,44.8169,15.8708,58.1,57,95,7.27
169,Salisbury,GB,2022-04-06 16:21:28,51.0693,-1.7957,54.97,84,75,23.02
170,Yichang,CN,2022-04-06 16:26:01,30.7144,111.2847,65.88,68,50,3.49
171,Ust-Kut,RU,2022-04-06 16:26:01,56.7938,105.7672,33.3,98,100,4.0
172,Alpena,US,2022-04-06 16:26:01,45.0617,-83.4327,41.11,93,100,10.36
173,Bredasdorp,ZA,2022-04-06 16:26:02,-34.5322,20.0403,59.04,57,87,15.75
174,Vizinga,RU,2022-04-06 16:26:02,61.0749,50.1031,33.22,97,100,9.51
175,Borba,BR,2022-04-06 16:26:02,-4.3878,-59.5939,87.24,66,70,3.53
176,Anadyr,RU,2022-04-06 16:26:03,64.75,177.4833,-8.9,77,0,6.71
177,College,US,2022-04-06 16:27:03,64.8569,-147.8028,19.58,83,100,0.0
178,Kavaratti,IN,2022-04-06 16:27:03,10.5669,72.642,84.27,71,100,11.12
179,Matamoros,MX,2022-04-06 16:27:04,25.5333,-103.25,77.11,15,0,0.0
180,Deputatskiy,RU,2022-04-06 16:27:04,69.3,139.9,-20.56,100,92,1.25
181,Chapais,CA,2022-04-06 16:27:04,49.7834,-74.8492,31.78,58,2,6.35
182,Shimoda,JP,2022-04-06 16:27:04,34.6667,138.95,58.1,77,100,6.24
183,Rawlins,US,2022-04-06 16:27:05,41.7911,-107.2387,31.35,29,0,20.71
184,Mikun,RU,2022-04-06 16:27:05,62.3547,50.0771,32.25,97,100,9.57
