,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Lander,US,42.833,-108.7307,36.41,27,0,11.5,clear sky
159,Muroto,JP,33.2833,134.15,63.0,60,99,10.27,overcast clouds
160,Issia,CI,6.4922,-6.5856,70.47,96,100,2.55,light rain
161,Portland,US,45.5234,-122.6762,60.75,45,20,10.36,few clouds
162,Kudahuvadhoo,MV,2.6708,72.8944,83.25,68,11,3.33,few clouds
163,Butka,RU,56.7179,63.7866,33.89,96,100,12.28,snow
164,Laguna,US,38.421,-121.4238,73.38,39,0,6.91,clear sky
165,Rabo De Peixe,PT,37.8,-25.5833,60.31,82,75,23.02,broken clouds
166,Imbituba,BR,-28.24,-48.6703,72.82,88,100,4.14,overcast clouds
167,Wajima,JP,37.4,136.9,57.88,58,0,6.91,clear sky
168,Pangody,RU,65.85,74.4859,12.88,91,100,17.22,light snow
169,San Vicente,AR,-26.6167,-54.1333,66.13,94,100,1.61,overcast clouds
170,Nouadhibou,MR,20.931,-17.0347,62.58,63,0,24.16,sand
171,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,64,12.26,broken clouds
172,High Level,CA,58.5169,-117.136,41.11,38,0,0.0,clear sky
173,Mailsi,PK,29.8003,72.1758,95.56,5,0,5.77,clear sky
174,Camacha,PT,33.0833,-16.3333,56.62,82,40,9.22,scattered clouds
175,Necochea,AR,-38.5473,-58.7368,60.66,81,48,6.62,scattered clouds
176,Port Macquarie,AU,-31.4333,152.9167,73.89,84,97,10.85,overcast clouds
177,Ust-Tarka,RU,55.5672,75.705,35.44,73,40,10.29,scattered clouds
178,Carnarvon,AU,-24.8667,113.6333,87.87,58,27,14.97,scattered clouds
179,Shelburne,CA,44.0787,-80.2041,48.24,98,100,8.52,overcast clouds
180,Dobryatino,RU,55.5055,41.3195,28.36,86,91,6.55,overcast clouds
181,Mount Gambier,AU,-37.8333,140.7667,67.91,60,100,16.11,overcast clouds
182,La Ronge,CA,55.1001,-105.2842,35.85,60,75,2.3,broken clouds
183,Yazman,PK,29.1212,71.7446,96.19,5,0,7.96,clear sky
184,Jasper,US,37.2001,-94.3502,53.65,47,40,16.11,scattered clouds
185,Hasaki,JP,35.7333,140.8333,61.29,78,100,14.76,overcast clouds
186,Aguimes,ES,27.9054,-15.4461,57.83,51,75,13.8,broken clouds
187,Teacapan,MX,22.55,-105.75,67.98,88,3,4.09,clear sky
188,Lodja,CD,-3.4833,23.4333,68.67,92,89,1.34,overcast clouds
189,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,80,100,6.91,overcast clouds
190,Khatanga,RU,71.9667,102.5,17.28,81,100,16.91,overcast clouds
191,Puerto El Triunfo,SV,13.2833,-88.55,85.12,76,94,4.16,overcast clouds
192,Sorland,NO,67.667,12.6934,36.59,63,100,15.1,overcast clouds
193,Norman Wells,CA,65.282,-126.8329,35.64,41,0,5.75,clear sky
194,Vanimo,PG,-2.6741,141.3028,85.3,70,95,6.11,light rain
195,Zeya,RU,53.75,127.2667,32.16,35,74,10.89,broken clouds
196,Ketchikan,US,55.3422,-131.6461,42.78,93,100,17.27,moderate rain
197,Hualmay,PE,-11.0964,-77.6139,68.7,87,46,8.28,scattered clouds
198,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.43,88,20,1.14,few clouds
199,Mapastepec,MX,15.4333,-92.9,77.92,80,18,2.82,few clouds
200,Constitucion,CL,-35.3333,-72.4167,55.8,74,18,9.08,few clouds
201,Dubovka,RU,49.0583,44.829,40.15,76,13,8.77,few clouds
202,Deer Lake,CA,49.1667,-57.4316,33.66,100,100,4.61,overcast clouds
203,Ryotsu,JP,38.0833,138.4333,50.83,57,93,3.94,overcast clouds
204,College,US,64.8569,-147.8028,42.75,41,75,8.05,broken clouds
205,Montepuez,MZ,-13.1256,38.9997,68.41,98,23,2.37,few clouds
206,Lorengau,PG,-2.0226,147.2712,81.77,82,100,9.66,overcast clouds
207,Butte,US,39.6499,-121.5677,73.42,29,0,0.0,clear sky
208,Acapulco,MX,16.8634,-99.8901,75.02,83,40,9.22,scattered clouds
209,Bonavista,CA,48.6499,-53.1147,31.73,98,100,18.23,overcast clouds
210,Thompson,CA,55.7435,-97.8558,32.16,86,100,9.22,overcast clouds
211,Gainesville,US,29.6516,-82.3248,76.95,87,100,9.22,overcast clouds
212,Inhambane,MZ,-23.865,35.3833,72.7,87,0,6.49,clear sky
213,Kampene,CD,-3.6,26.6667,69.44,94,100,1.79,overcast clouds
214,Pizarro,CO,4.9533,-77.366,79.45,87,100,3.09,light rain
215,Chicama,PE,-7.8447,-79.1469,64.94,77,58,6.76,broken clouds
216,Warri,NG,5.5167,5.75,77.92,90,49,3.13,scattered clouds
217,Farmington,US,36.7281,-108.2187,48.88,17,0,17.27,clear sky
218,Valparaiso,CL,-33.0393,-71.6273,56.48,82,100,2.3,fog
219,Nanortalik,GL,60.1432,-45.2371,28.69,91,86,6.49,overcast clouds
220,San Jose,US,37.3394,-121.895,72.68,39,0,4.61,clear sky
